Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
R Parag,2019-2026,98,86,13,1875,95,25.68,1300,144.23,0,9,3,135,108,
NT Tilak Varma,2022-2026,68,65,13,1858,101*,35.73,1284,144.7,1,10,2,143,91,
MR Marsh,2010-2026,68,62,2,1855,117,30.91,1249,148.51,2,12,7,155,111,
SP Narine,2012-2026,202,126,22,1820,109,17.5,1101,165.3,1,7,18,191,120,
Prabhsimran Singh,2019-2026,65,64,1,1815,103,28.8,1161,156.33,1,13,5,189,94,
DPMD Jayawardene,2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39,
KK Nair,2013-2026,86,78,5,1712,89,23.45,1304,131.28,0,11,5,188,49,
Mandeep Singh,2010-2023,111,98,16,1706,77*,20.8,1388,122.91,0,6,15,176,38,
MK Tiwary,2008-2018,98,85,26,1695,75*,28.72,1449,116.97,0,7,8,156,40,
KC Sangakkara,2008-2013,71,68,3,1687,94,25.95,1392,121.19,0,10,4,195,27,
VR Iyer,2021-2026,69,62,9,1677,104,31.64,1181,141.99,1,13,2,157,78,
JM Bairstow,2019-2025,52,52,4,1674,114,34.87,1146,146.07,2,9,3,173,74,
AK Markram,2021-2026,69,66,11,1671,68*,30.38,1233,135.52,0,10,3,131,68,
RM Patidar,2021-2026,57,52,4,1612,112*,33.58,980,164.48,1,14,1,106,110,
DJ Bravo,2008-2022,161,113,44,1560,70*,22.6,1204,129.56,0,5,5,120,66,
SO Hetmyer,2019-2026,94,86,29,1560,75,27.36,1045,149.28,0,5,4,98,96,
TM Head,2016-2026,53,52,4,1556,102,32.41,915,170.05,1,10,6,172,78,
NV Ojha,2009-2018,113,94,19,1554,94*,20.72,1313,118.35,0,6,8,121,79,
DJ Hooda,2015-2025,125,101,16,1496,64,17.6,1172,127.64,0,8,5,98,62,
SS Tiwary,2008-2021,93,74,22,1494,61,28.73,1244,120.09,0,8,1,111,50,
S Badrinath,2008-2013,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28,
EJG Morgan,2010-2021,83,75,13,1405,68*,22.66,1146,122.6,0,5,6,112,64,
BJ Hodge,2008-2014,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,
RK Singh,2018-2026,73,62,21,1394,83*,34,955,145.96,0,6,1,114,67,
SC Ganguly,2008-2012,59,56,3,1349,91,25.45,1263,106.8,0,7,4,137,42,
CA Lynn,2012-2021,42,42,3,1329,93*,34.07,945,140.63,0,10,3,132,66,
DJ Hussey,2008-2014,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,
R Tewatia,2014-2026,124,92,37,1302,68,23.67,943,138.06,0,2,4,110,62,
PD Salt,2023-2026,40,40,3,1258,89*,34,721,174.47,0,12,4,138,67,
V Shankar,2014-2025,78,65,18,1233,69*,26.23,950,129.78,0,7,2,88,48,
KM Jadhav,2010-2023,95,81,27,1208,69,22.37,981,123.13,0,4,6,102,40,
DC Jurel,2023-2026,58,51,13,1195,81*,31.44,775,154.19,0,10,5,98,62,
A Badoni,2022-2026,66,56,10,1178,74,25.6,836,140.9,0,7,5,96,47,
MM Ali,2018-2025,73,59,6,1167,93,22.01,835,139.76,0,6,6,95,67,
TM Dilshan,2008-2013,52,50,7,1153,76*,26.81,1007,114.49,0,9,6,140,24,
TH David,2021-2026,66,59,24,1151,70*,32.88,650,177.07,0,2,4,76,83,
IK Pathan,2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37,
ML Hayden,2008-2010,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44,
JM Sharma,2022-2026,71,59,11,1107,85*,23.06,726,152.47,0,1,3,86,68,
M Vohra,2013-2023,56,51,2,1083,95,22.1,829,130.63,0,3,3,104,43,
DP Conway,2022-2025,29,28,3,1080,92*,43.2,773,139.71,0,11,3,116,34,
LMP Simmons,2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44,
LS Livingstone,2019-2026,51,49,7,1066,94,25.38,687,155.16,0,7,3,70,76,
C Green,2023-2026,43,42,15,1029,100*,38.11,681,151.1,1,4,1,84,49,
V Sooryavanshi,2025-2026,23,23,0,1028,103,44.69,449,228.95,2,6,2,81,96,
LRPL Taylor,2008-2014,55,54,14,1017,81*,25.42,822,123.72,0,3,3,66,46,
KP Pietersen,2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40,
MC Henriques,2009-2021,62,54,18,1000,74*,27.77,788,126.9,0,5,2,87,28,
SM Curran,2019-2025,64,53,13,997,88,24.92,731,136.38,0,6,4,85,41,
Y Venugopal Rao,2008-2014,65,54,10,985,71*,22.38,836,117.82,0,3,2,77,37,
T Stubbs,2022-2026,46,43,18,980,71*,39.2,648,151.23,0,5,2,69,46,
JA Morkel,2008-2016,91,68,28,974,73*,24.35,686,141.98,0,3,3,61,55,
A Symonds,2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,0,74,41,
CL White,2008-2013,47,45,9,954,78,26.5,755,126.35,0,6,4,76,36,
BA Stokes,2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32,
Shashank Singh,2022-2026,53,42,17,905,68*,36.2,560,161.6,0,6,3,67,51,
Washington Sundar,2017-2026,83,61,18,888,55,20.65,656,135.36,0,3,3,82,28,
HH Gibbs,2008-2012,36,36,4,886,69*,27.68,807,109.78,0,6,4,83,31,
A Raghuvanshi,2024-2026,35,30,4,885,82*,34.03,608,145.55,0,7,0,86,35,
STR Binny,2010-2019,95,68,22,880,48*,19.13,683,128.84,0,0,7,66,35,
Abdul Samad,2020-2026,71,60,16,857,45,19.47,576,148.78,0,0,4,55,55,
P Arya,2025-2026,30,30,0,839,103,27.96,437,191.99,1,5,3,82,57,
RD Rickelton,2025-2026,26,26,2,836,123*,34.83,497,168.2,1,5,0,78,55,
R Ashwin,2009-2025,221,98,34,833,50,13.01,705,118.15,0,1,12,64,29,
Harbhajan Singh,2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42,
MS Bisla,2010-2015,39,39,1,798,92,21,702,113.67,0,4,3,93,23,
Shakib Al Hasan,2011-2021,71,52,12,793,66*,19.82,637,124.48,0,2,4,73,21,
K Nitish Kumar Reddy,2023-2026,42,35,8,787,76*,29.14,541,145.47,0,3,1,50,46,
N Wadhera,2023-2026,44,37,4,784,70,23.75,560,140,0,4,2,64,43,
M Shahrukh Khan,2021-2026,64,54,16,775,58,20.39,524,147.9,0,2,3,49,52,
Abishek Porel,2023-2026,35,33,3,769,65,25.63,529,145.36,0,4,2,80,28,
ST Jayasuriya,2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39,
SN Khan,2015-2026,58,44,11,746,67,22.6,543,137.38,0,2,4,86,20,
GC Smith,2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9,
AD Mathews,2009-2017,49,42,11,724,65*,23.35,575,125.91,0,1,3,44,29,
Naman Dhir,2024-2026,37,33,7,710,62*,27.3,433,163.97,0,3,5,67,36,
TL Suman,2009-2013,43,40,8,676,78*,21.12,575,117.56,0,2,3,55,26,
AM Nayar,2008-2014,60,50,12,672,45*,17.68,577,116.46,0,0,3,55,20,
GJ Bailey,2009-2016,40,37,10,663,61*,24.55,544,121.87,0,2,1,59,19,
E Lewis,2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36,
PJ Cummins,2014-2026,80,53,20,642,66*,19.45,421,152.49,0,3,4,40,44,
Rashid Khan,2017-2026,153,74,28,635,79*,13.8,406,156.4,0,1,16,45,43,
PP Chawla,2008-2024,192,92,36,624,24*,11.14,563,110.83,0,0,16,56,20,
CH Morris,2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35,
JJ Roy,2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21,
D Brevis,2022-2026,27,24,0,606,57,25.25,415,146.02,0,2,3,38,43,
JD Ryder,2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19,
Shahbaz Ahmed,2020-2026,63,40,11,603,59*,20.79,489,123.31,0,1,1,33,28,
WG Jacks,2024-2026,28,26,4,602,100*,27.36,379,158.83,1,2,0,50,38,
HM Amla,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21,
AR Sharma,2024-2026,32,26,7,564,66*,29.68,334,168.86,0,2,0,39,40,
R Powell,2022-2026,40,30,5,555,67*,22.2,390,142.3,0,1,2,38,38,
JP Inglis,2025-2026,16,16,2,544,85,38.85,314,173.24,0,4,0,58,28,
CJ Anderson,2014-2018,30,29,7,538,95*,24.45,423,127.18,0,3,2,40,31,
RS Bopara,2009-2015,24,22,4,531,84,29.5,453,117.21,0,3,2,39,16,
JP Faulkner,2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23,
MK Lomror,2018-2024,40,35,6,527,54*,18.17,373,141.28,0,1,3,33,30,
SE Rutherford,2019-2026,31,27,6,520,71*,24.76,364,142.85,0,1,2,30,38,
M Manhas,2008-2014,55,38,15,514,42*,22.34,470,109.36,0,0,6,43,10,
Gurkeerat Singh,2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11,
OA Shah,2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23,
PC Valthaty,2009-2013,23,23,1,505,120*,22.95,418,120.81,1,2,1,60,20,
SW Billings,2016-2022,30,27,1,503,56,19.34,388,129.63,0,3,3,40,20,
CPL Connolly,2026-2026,14,13,2,491,107*,44.63,301,163.12,1,2,1,43,32,
RR Rossouw,2014-2024,22,22,2,473,82*,23.65,308,153.57,0,2,4,45,25,
DT Christian,2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,
A Mhatre,2025-2026,13,13,0,441,94,33.92,240,183.75,0,3,2,51,23,
Sameer Rizvi,2024-2026,24,18,4,424,90,30.28,293,144.7,0,3,3,30,26,
SA Asnodkar,2008-2011,20,20,0,423,60,21.15,339,124.77,0,2,3,56,10,
NLTC Perera,2010-2016,37,30,8,422,40,19.18,307,137.45,0,0,1,23,26,
JR Hopes,2008-2011,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,
R Ravindra,2024-2025,18,18,1,413,65*,24.29,287,143.9,0,2,2,40,16,
J Botha,2009-2015,34,28,8,409,67*,20.45,359,113.92,0,1,0,39,5,
LR Shukla,2008-2014,47,34,7,405,48*,15,350,115.71,0,0,3,33,15,
AL Menaria,2011-2013,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18,
MV Boucher,2008-2011,31,24,10,394,50*,28.14,309,127.5,0,1,0,32,13,
CA Pujara,2010-2014,30,22,3,390,51,20.52,391,99.74,0,1,1,50,4,
Azhar Mahmood,2012-2015,23,21,2,388,80,20.42,303,128.05,0,2,2,39,13,
J Fraser-McGurk,2024-2025,15,15,0,385,84,25.66,193,199.48,0,4,3,39,30,
A Mishra,2008-2024,162,57,25,381,31,11.9,419,90.93,0,0,10,31,5,
KR Mayers,2023-2023,13,13,0,379,73,29.15,263,144.1,0,4,2,38,22,
DB Ravi Teja,2008-2013,32,25,6,375,60,19.73,317,118.29,0,1,1,35,9,
S Sohal,2008-2011,22,20,0,368,62,18.4,292,126.02,0,2,3,34,18,
P Negi,2012-2019,50,35,9,365,36,14.03,289,126.29,0,0,3,27,16,
Rahmanullah Gurbaz,2023-2025,19,18,1,363,81,21.35,269,134.94,0,2,2,34,22,
B Kumar,2011-2026,206,78,40,354,27,9.31,377,93.89,0,0,6,34,4,
KV Sharma,2009-2025,90,41,15,352,39*,13.53,295,119.32,0,0,1,20,17,
DJ Mitchell,2022-2024,15,15,2,351,63,27,267,131.46,0,2,0,28,10,
FH Allen,2026-2026,11,11,1,349,100*,34.9,163,214.11,1,1,0,33,28,
SN Thakur,2015-2026,114,45,15,349,68,11.63,263,132.69,0,1,8,32,13,
R Bhatia,2008-2017,95,49,19,342,26*,11.4,284,120.42,0,0,3,24,13,
P Kumar,2008-2017,119,59,21,340,34,8.94,314,108.28,0,0,9,22,17,
AP Tare,2010-2017,35,28,4,339,59,14.12,273,124.17,0,1,5,40,11,
JEC Franklin,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8,
JC Archer,2018-2026,68,42,17,326,32,13.04,225,144.88,0,0,5,18,22,
D Ferreira,2024-2026,18,16,4,326,69,27.16,191,170.68,0,2,1,25,23,
RN ten Doeschate,2011-2015,29,22,8,326,70*,23.28,235,138.72,0,1,3,26,15,
JO Holder,2013-2026,57,34,8,324,47*,12.46,263,123.19,0,0,3,16,21,
Anuj Rawat,2021-2024,24,21,5,318,66,19.87,267,119.1,0,1,4,26,14,
AU Verma,2025-2026,24,20,5,315,74,21,196,160.71,0,1,0,18,25,
R Vinay Kumar,2008-2018,105,46,18,310,26*,11.07,274,113.13,0,0,4,21,9,
Lalit Yadav,2021-2024,27,21,5,305,48*,19.06,290,105.17,0,0,1,27,7,
DB Das,2008-2013,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16,
C de Grandhomme,2017-2019,25,21,5,303,40,18.93,225,134.66,0,0,3,18,18,
LA Pomersbach,2008-2013,17,16,5,302,79*,27.45,246,122.76,0,1,0,25,13,
UBT Chand,2011-2016,21,20,0,300,58,15,300,100,0,1,4,32,9,
Ramandeep Singh,2022-2026,39,26,10,299,35,18.68,205,145.85,0,0,1,17,19,
Kartik Sharma,2026-2026,11,11,2,295,71,32.77,216,136.57,0,2,0,24,16,
DJG Sammy,2013-2015,22,20,5,295,60,19.66,241,122.4,0,1,2,15,18,
SP Goswami,2008-2020,31,21,1,293,52,14.65,295,99.32,0,1,4,32,3,
A Manohar,2022-2025,27,20,1,292,43,15.36,235,124.25,0,0,2,23,14,
Y Nagar,2009-2012,26,20,6,285,44*,20.35,259,110.03,0,0,2,20,9,
GH Vihari,2013-2019,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1,
VVS Laxman,2008-2011,20,20,2,282,52,15.66,267,105.61,0,1,4,33,5,
A Ashish Reddy,2012-2016,31,23,8,280,36*,18.66,193,145.07,0,0,0,17,14,
B Chipli,2008-2013,23,21,6,280,61*,18.66,251,111.55,0,1,0,28,7,
HV Patel,2012-2026,124,49,17,280,36*,8.75,238,117.64,0,0,10,18,15,
MJ Lumb,2010-2011,12,12,0,278,83,23.16,194,143.29,0,1,3,45,6,
P Nissanka,2026-2026,10,10,0,278,62,27.8,175,158.85,0,2,0,33,12,
PBB Rajapaksa,2022-2023,13,13,1,277,50,23.08,191,145.02,0,1,1,22,15,
PK Garg,2020-2023,23,19,1,273,51*,15.16,241,113.27,0,1,2,16,9,
MJ Guptill,2016-2019,13,13,1,270,50*,22.5,196,137.75,0,1,1,24,15,
R Sathish,2010-2016,34,25,8,270,27*,15.88,231,116.88,0,0,2,22,6,
R Shepherd,2022-2026,33,19,8,268,53*,24.36,153,175.16,0,1,2,18,22,
K Rabada,2017-2026,101,37,17,262,44,13.1,239,109.62,0,0,4,21,11,
A Taide,2023-2025,10,10,0,260,66,26,177,146.89,0,2,1,30,8,
M Kaif,2008-2012,29,22,4,259,34*,14.38,250,103.6,0,0,0,22,6,
Harpreet Brar,2019-2026,51,27,15,249,29,20.75,206,120.87,0,0,1,20,10,
K Gowtham,2018-2024,36,27,9,247,33*,13.72,148,166.89,0,0,2,15,17,
SM Katich,2008-2009,11,11,1,241,75,24.1,186,129.56,0,2,1,25,8,
BCJ Cutting,2014-2019,21,17,6,238,39*,21.63,141,168.79,0,0,1,15,19,
MD Mishra,2010-2012,18,17,1,237,41,14.81,208,113.94,0,0,1,24,8,
SB Dubey,2024-2026,20,17,7,220,34*,22,143,153.84,0,0,1,17,13,
K Goel,2008-2010,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9,
AA Jhunjhunwala,2010-2012,21,16,3,217,53*,16.69,210,103.33,0,1,1,19,5,
Mohammad Nabi,2017-2024,24,19,3,215,31,13.43,150,143.33,0,0,1,18,11,
R Dhawan,2013-2024,39,24,13,210,25*,19.09,187,112.29,0,0,1,18,7,
Kuldeep Yadav,2016-2026,110,42,24,210,35*,11.66,253,83,0,0,5,18,3,
UT Yadav,2010-2024,148,52,31,208,24*,9.9,201,103.48,0,0,8,16,9,
CA Ingram,2011-2019,15,15,3,205,47,17.08,180,113.88,0,0,0,22,5,
PD Collingwood,2010-2010,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13,
JD Unadkat,2010-2026,116,33,17,201,26,12.56,169,118.93,0,0,2,16,7,
KS Bharat,2021-2022,10,9,2,199,78*,28.42,163,122.08,0,1,1,12,8,
SK Warne,2008-2011,55,29,9,198,34*,9.9,214,92.52,0,0,7,14,6,
UM Patel,2025-2026,10,10,0,197,65,19.7,96,205.2,0,1,2,11,20,
SP Fleming,2008-2008,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3,
AS Raut,2009-2011,22,16,7,194,36*,21.55,167,116.16,0,0,1,13,7,
BJ Rohrer,2013-2013,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5,
Salman Butt,2008-2008,7,7,0,193,73,27.57,161,119.87,0,1,0,30,2,
M Jansen,2021-2026,48,26,11,192,34*,12.8,174,110.34,0,0,3,9,9,
YV Takawale,2008-2014,16,10,2,192,45,24,178,107.86,0,0,2,26,3,
HC Brook,2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,
Bipul Sharma,2010-2017,33,17,9,187,35*,23.37,123,152.03,0,0,0,11,9,
FY Fazal,2010-2011,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1,
SD Hope,2024-2024,9,9,1,183,41,22.87,122,150,0,0,0,12,12,
MS Wade,2011-2024,15,14,0,183,35,13.07,177,103.38,0,0,0,23,2,
Sikandar Raza,2023-2024,9,9,2,182,57,26,136,133.82,0,1,0,12,8,
CR Brathwaite,2016-2019,16,14,1,181,43*,13.92,111,163.06,0,0,0,10,16,
AC Voges,2010-2010,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3,
S Gopal,2014-2024,52,22,8,180,24,12.85,169,106.5,0,0,4,19,2,
AB Agarkar,2008-2013,42,22,12,179,39,17.9,154,116.23,0,0,1,13,5,
MF Maharoof,2008-2010,20,14,4,177,39,17.7,123,143.9,0,0,2,12,9,
C Munro,2016-2019,13,12,0,177,40,14.75,141,125.53,0,0,2,19,8,
MW Short,2023-2026,9,9,0,177,36,19.66,143,123.77,0,0,0,21,5,
MD Choudhary,2026-2026,10,10,4,170,54*,28.33,120,141.66,0,1,0,11,12,
DH Yagnik,2011-2014,25,17,7,170,34,17,137,124.08,0,0,1,23,2,
CM Gautam,2013-2015,13,13,3,169,33,16.9,150,112.66,0,0,0,17,6,
MG Johnson,2013-2018,54,30,17,167,16*,12.84,164,101.82,0,0,2,10,7,
DW Steyn,2008-2020,95,37,15,167,19*,7.59,160,104.37,0,0,5,14,3,
MN van Wyk,2009-2009,5,5,2,167,74,55.66,132,126.51,0,1,1,19,1,
Suryansh Shedge,2025-2026,12,10,3,165,57,23.57,101,163.36,0,1,0,9,12,
PA Reddy,2012-2013,12,11,1,164,42,16.4,160,102.5,0,0,0,15,2,
JG Bethell,2025-2026,9,9,0,163,55,18.11,116,140.51,0,1,0,21,6,
N Jagadeesan,2020-2023,13,10,1,162,39*,18,147,110.2,0,0,2,21,2,
MN Samuels,2012-2017,15,14,1,161,46,12.38,172,93.6,0,0,1,9,7,
R McLaren,2010-2013,18,13,5,159,51*,19.87,171,92.98,0,1,1,14,1,
RE van der Merwe,2009-2013,21,15,4,159,35,14.45,141,112.76,0,0,0,11,8,
V Nigam,2025-2026,19,10,2,157,39,19.62,89,176.4,0,0,1,17,8,
S Arora,2026-2026,14,11,4,156,35,22.28,98,159.18,0,0,1,11,11,
Azmatullah Omarzai,2024-2026,19,11,1,151,38,15.1,101,149.5,0,0,0,11,10,
J Overton,2025-2026,13,8,4,151,43*,37.75,93,162.36,0,0,0,14,7,
AD Hales,2018-2018,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,
D Wiese,2015-2023,18,11,6,148,47*,29.6,101,146.53,0,0,0,12,7,
Arshad Khan,2023-2026,27,14,7,147,58*,21,99,148.48,0,1,1,7,11,
SM Pollock,2008-2008,13,8,0,147,33,18.37,111,132.43,0,0,2,12,8,
S Vidyut,2008-2008,9,8,0,145,54,18.12,109,133.02,0,1,1,21,3,
Sachin Baby,2013-2025,20,11,2,144,33,16,118,122.03,0,0,1,11,5,
DL Chahar,2016-2026,103,21,11,142,39,14.2,103,137.86,0,0,4,8,9,
N Saini,2012-2012,10,10,0,140,50,14,141,99.29,0,1,0,16,0,
Anmolpreet Singh,2021-2024,9,9,0,139,36,15.44,115,120.86,0,0,1,19,3,
S Anirudha,2008-2014,20,13,5,136,64,17,113,120.35,0,1,2,9,7,
MJ Santner,2019-2026,35,21,13,136,22,17,123,110.56,0,0,1,9,6,
GD Phillips,2021-2026,14,13,2,132,25,12,109,121.1,0,0,1,7,8,
SB Styris,2008-2011,12,10,3,131,36*,18.71,133,98.49,0,0,0,10,3,
W Jaffer,2008-2009,8,8,0,130,50,16.25,121,107.43,0,1,1,14,3,
RD Chahar,2017-2026,80,24,8,129,25*,8.06,124,104.03,0,0,8,13,5,
Kamran Akmal,2008-2008,6,6,1,128,53*,25.6,78,164.1,0,1,0,13,8,
TK Curran,2018-2021,13,10,5,127,54*,25.4,107,118.69,0,1,0,10,3,
P Dogra,2010-2013,13,12,1,127,41,11.54,138,92.02,0,0,1,4,5,
UT Khawaja,2016-2016,6,6,0,127,30,21.16,100,127,0,0,0,14,3,
M Morkel,2009-2016,70,23,12,126,23*,11.45,90,140,0,0,5,11,4,
SS Prabhudessai,2022-2024,11,10,0,126,34,12.6,106,118.86,0,0,1,11,4,
